node,citations,hindex,gindex,title,cs,bio,soc,is_bridge_node,node_type
0,80,3,8,0,0,0,0,0,non_bridge
1,369,9,19,3,0,0,0,1,bridge
2,597,9,24,0,0,0,0,1,bridge
3,1089,10,33,3,0,1,0,0,non_bridge
4,1958,24,43,0,0,0,0,0,non_bridge
5,941,14,28,3,1,0,0,0,non_bridge
6,31,3,5,0,1,0,0,0,non_bridge
7,455,10,17,3,1,1,0,1,bridge
8,519,13,19,0,0,0,0,1,bridge
9,636,13,22,0,1,0,0,0,non_bridge
10,50,4,7,0,0,0,0,1,bridge
11,20,3,4,3,0,0,0,0,non_bridge
12,15,2,3,1,0,1,0,0,non_bridge
13,539,12,23,3,0,1,0,0,non_bridge
14,0,0,0,0,0,0,0,0,non_bridge
15,0,0,0,0,0,0,0,0,non_bridge
16,0,0,0,0,0,0,0,0,non_bridge
17,10804,49,103,3,0,0,0,0,non_bridge
18,28,3,5,0,0,1,0,0,non_bridge
19,7,2,2,3,0,1,0,1,bridge
20,0,0,0,0,0,0,0,0,non_bridge
21,0,0,0,1,1,0,0,0,non_bridge
22,288,8,16,3,0,0,0,0,non_bridge
23,315,9,16,0,0,0,0,0,non_bridge
24,2598,29,50,3,0,0,0,0,non_bridge
25,34,3,5,0,1,0,0,0,non_bridge
26,769,4,27,0,0,0,0,0,non_bridge
27,847,13,28,3,0,0,0,0,non_bridge
28,88,4,9,0,1,0,0,0,non_bridge
29,258,9,14,0,0,0,0,0,non_bridge
30,0,0,0,0,0,0,0,0,non_bridge
31,119,5,10,0,1,0,0,0,non_bridge
32,255,10,15,0,0,0,0,0,non_bridge
33,40,4,6,0,0,0,0,0,non_bridge
34,0,0,0,0,0,0,0,0,non_bridge
35,31,4,5,0,0,0,0,1,bridge
36,0,0,0,0,0,0,0,0,non_bridge
37,312,8,17,0,0,1,0,0,non_bridge
38,2,1,1,0,1,0,0,0,non_bridge
39,421,9,19,0,0,1,0,0,non_bridge
40,221,10,14,0,0,0,0,1,bridge
41,4,1,1,0,0,0,0,1,bridge
42,1,1,1,0,0,0,0,0,non_bridge
43,706,14,26,0,0,0,0,0,non_bridge
44,2,1,1,0,1,0,0,0,non_bridge
45,47,4,6,3,1,0,0,0,non_bridge
46,51,3,7,0,0,1,0,0,non_bridge
47,70,4,7,0,1,0,0,0,non_bridge
48,1097,13,33,3,0,1,0,1,bridge
49,0,0,0,1,1,0,0,1,bridge
50,0,0,0,0,0,0,0,0,non_bridge
51,862,17,29,0,0,0,0,0,non_bridge
52,37,3,6,0,0,0,0,1,bridge
53,594,14,22,0,1,0,0,0,non_bridge
54,124,6,11,0,0,0,0,0,non_bridge
55,62,4,7,3,1,0,0,0,non_bridge
56,27,3,4,0,0,0,0,1,bridge
57,0,0,0,0,0,0,0,0,non_bridge
58,12,1,3,1,0,0,0,1,bridge
59,390,9,19,0,0,0,0,0,non_bridge
60,662,14,25,0,0,0,0,0,non_bridge
61,0,0,0,0,0,0,0,0,non_bridge
62,0,0,0,0,0,0,0,0,non_bridge
63,39,2,6,0,0,1,0,1,bridge
64,6737,21,82,0,1,0,0,0,non_bridge
65,17,2,4,3,0,0,0,0,non_bridge
66,1007,11,31,3,0,0,0,0,non_bridge
67,21,1,4,1,0,0,0,0,non_bridge
68,107,5,10,0,0,0,0,1,bridge
69,147,3,12,0,1,0,0,0,non_bridge
70,1030,19,28,0,0,0,0,0,non_bridge
71,0,0,0,3,0,0,0,0,non_bridge
72,158,6,11,3,0,0,0,0,non_bridge
73,419,12,20,0,0,1,0,1,bridge
74,28,3,5,0,0,0,0,0,non_bridge
75,1,1,1,0,0,0,0,1,bridge
76,3488,30,58,3,0,0,0,0,non_bridge
77,0,0,0,0,0,0,0,0,non_bridge
78,75,4,8,1,0,0,0,1,bridge
79,336,11,17,0,0,0,0,0,non_bridge
80,152,6,12,3,1,0,0,0,non_bridge
81,40,3,6,0,1,1,0,0,non_bridge
82,40,4,5,0,1,0,0,0,non_bridge
83,231,6,15,0,1,0,0,0,non_bridge
84,402,10,20,2,0,0,0,0,non_bridge
85,151,8,11,0,0,0,0,1,bridge
86,45,3,6,0,0,0,0,1,bridge
87,218,3,14,0,0,1,0,0,non_bridge
88,5,2,2,3,0,0,0,0,non_bridge
89,0,0,0,1,0,1,0,0,non_bridge
90,355,10,18,3,0,0,0,1,bridge
91,186,9,12,3,0,0,0,0,non_bridge
92,6498,47,80,3,0,1,0,1,bridge
93,48,3,6,0,0,1,0,1,bridge
94,88,5,9,0,1,0,0,1,bridge
95,164,1,12,3,0,0,0,0,non_bridge
96,2543,20,50,0,1,1,0,0,non_bridge
97,29,2,5,0,1,0,0,0,non_bridge
98,0,0,0,0,0,0,0,0,non_bridge
99,10,2,2,0,0,0,0,0,non_bridge
100,4,1,2,0,0,0,0,0,non_bridge
101,152,8,11,3,1,0,0,1,bridge
102,232,4,15,0,0,0,0,0,non_bridge
103,385,8,19,2,0,1,0,0,non_bridge
104,313,6,17,3,0,1,0,0,non_bridge
105,5,2,2,0,0,0,0,0,non_bridge
106,11,2,3,0,0,0,0,1,bridge
107,1900,14,43,0,0,1,0,0,non_bridge
108,173,5,13,0,0,1,0,1,bridge
109,3627,16,60,3,0,0,0,0,non_bridge
110,237,7,14,0,0,0,0,1,bridge
111,950,17,28,3,0,0,0,1,bridge
112,2974,33,50,3,0,0,0,0,non_bridge
113,745,11,27,0,0,1,0,0,non_bridge
114,71,4,8,0,0,0,0,1,bridge
115,0,0,0,0,0,0,0,0,non_bridge
116,352,11,18,0,1,1,0,0,non_bridge
117,111,5,10,0,0,0,0,0,non_bridge
118,123,6,11,0,0,0,0,1,bridge
119,0,0,0,3,0,0,0,0,non_bridge
120,15,2,3,0,0,0,0,0,non_bridge
121,239,7,15,0,0,0,0,0,non_bridge
122,112,6,10,0,0,0,0,0,non_bridge
123,35,4,5,0,0,0,0,0,non_bridge
124,11,2,3,0,0,1,0,0,non_bridge
125,4,1,2,0,0,0,0,0,non_bridge
126,332,11,17,0,1,0,0,1,bridge
127,65,4,7,3,0,0,0,1,bridge
128,69,5,8,0,1,0,0,0,non_bridge
129,634,14,23,3,0,0,0,0,non_bridge
130,158,7,12,0,0,0,0,0,non_bridge
131,1428,11,37,0,0,1,0,0,non_bridge
132,212,7,14,0,0,1,0,1,bridge
133,277,9,16,0,0,1,0,0,non_bridge
134,6,2,2,1,0,1,0,0,non_bridge
135,1233,18,35,0,1,1,0,0,non_bridge
136,536,8,23,0,0,0,0,0,non_bridge
137,2,1,1,0,0,0,0,0,non_bridge
138,40,3,6,0,0,0,0,1,bridge
139,3833,19,61,0,0,1,0,0,non_bridge
140,115,6,9,0,1,0,0,0,non_bridge
141,388,8,19,0,0,0,0,0,non_bridge
142,11260,56,103,3,0,0,0,1,bridge
143,2727,23,52,0,0,1,0,0,non_bridge
144,3408,21,58,0,0,1,0,0,non_bridge
145,9,2,2,0,0,0,0,0,non_bridge
146,260,6,16,0,0,0,0,1,bridge
147,88,6,9,0,1,0,0,0,non_bridge
148,122,5,10,0,0,0,0,0,non_bridge
149,50,4,7,0,0,0,0,0,non_bridge
150,7190,40,84,0,0,0,0,0,non_bridge
151,0,0,0,3,0,0,0,0,non_bridge
152,89,5,9,2,0,0,0,1,bridge
153,251,10,14,0,0,0,0,0,non_bridge
154,125,4,11,0,0,1,0,1,bridge
155,99,5,8,0,0,0,0,0,non_bridge
156,78,4,8,0,1,0,0,1,bridge
157,71,3,8,3,1,0,0,0,non_bridge
158,452,12,19,3,1,0,0,0,non_bridge
159,326,11,17,3,0,0,0,0,non_bridge
160,259,7,16,0,0,0,0,0,non_bridge
161,10,2,2,0,0,0,0,1,bridge
162,0,0,0,1,0,0,0,0,non_bridge
163,0,0,0,1,0,0,0,0,non_bridge
164,496,11,22,3,0,0,0,0,non_bridge
165,303,10,17,0,0,1,0,0,non_bridge
166,25,3,4,0,1,0,0,0,non_bridge
167,1628,23,39,0,1,0,0,0,non_bridge
168,14,1,3,0,0,1,0,0,non_bridge
169,60,4,7,0,1,0,0,0,non_bridge
170,21,3,4,0,1,0,0,0,non_bridge
171,1,1,1,0,0,0,0,0,non_bridge
172,221,8,14,0,0,1,0,0,non_bridge
173,391,8,19,0,0,1,0,0,non_bridge
174,457,9,21,0,0,0,0,0,non_bridge
175,167,6,12,2,0,1,0,0,non_bridge
176,236,8,15,0,1,0,0,0,non_bridge
177,5,1,2,0,0,1,0,0,non_bridge
178,0,0,0,0,0,0,0,0,non_bridge
179,297,9,17,2,0,1,0,0,non_bridge
180,20,2,4,2,0,1,0,0,non_bridge
181,1025,18,31,0,0,0,0,1,bridge
182,71,5,8,0,0,0,0,0,non_bridge
183,1951,15,44,0,0,0,0,0,non_bridge
184,3,1,1,1,0,0,0,0,non_bridge
185,233,9,13,3,0,0,0,1,bridge
186,69,2,8,0,1,1,0,1,bridge
187,0,0,0,0,0,0,0,0,non_bridge
188,527,12,22,0,0,0,0,0,non_bridge
189,3879,28,62,0,0,0,0,1,bridge
190,5590,37,74,3,0,1,0,1,bridge
191,388,10,18,3,1,0,0,0,non_bridge
192,1,1,1,0,0,0,0,0,non_bridge
193,31,3,5,3,0,0,0,0,non_bridge
194,1123,19,32,3,1,0,0,0,non_bridge
195,1426,19,34,0,0,0,0,0,non_bridge
196,423,12,18,0,0,1,0,1,bridge
197,12,1,3,3,0,1,0,0,non_bridge
198,572,10,23,0,1,0,0,0,non_bridge
199,549,14,22,0,0,0,0,0,non_bridge
200,27,3,5,0,0,0,0,0,non_bridge
201,31,3,5,0,0,0,0,1,bridge
202,170,6,12,0,0,0,0,0,non_bridge
203,4,1,2,0,0,0,0,1,bridge
204,234,7,15,0,0,0,0,0,non_bridge
205,959,14,30,3,0,1,0,1,bridge
206,0,0,0,0,0,0,0,0,non_bridge
207,2,1,1,0,0,0,0,0,non_bridge
208,0,0,0,3,0,0,0,0,non_bridge
209,11391,57,105,3,1,0,0,1,bridge
210,409,11,19,0,1,0,0,0,non_bridge
211,84,3,9,0,0,0,0,0,non_bridge
212,77,5,8,0,0,0,0,0,non_bridge
213,50,4,7,0,0,0,0,1,bridge
214,1119,16,32,0,0,0,0,0,non_bridge
215,2410,20,49,3,1,0,0,0,non_bridge
216,178,4,13,0,0,0,0,0,non_bridge
217,92,1,9,0,0,0,0,0,non_bridge
218,114,5,10,3,0,0,0,0,non_bridge
219,1071,16,31,3,1,0,0,0,non_bridge
220,1016,17,22,0,0,1,0,0,non_bridge
221,132,4,11,0,0,1,0,1,bridge
222,968,17,28,3,0,1,0,0,non_bridge
223,24,3,4,0,0,1,0,0,non_bridge
224,0,0,0,0,0,0,0,1,bridge
225,216,5,14,0,0,0,0,0,non_bridge
226,1205,19,32,3,1,1,0,0,non_bridge
227,32,2,5,0,0,0,0,0,non_bridge
228,2938,8,54,0,0,1,0,0,non_bridge
229,33,3,3,3,0,1,0,0,non_bridge
230,593,12,20,3,1,0,0,0,non_bridge
231,3,1,1,3,0,0,0,0,non_bridge
232,82,5,8,3,1,0,0,1,bridge
233,5,1,1,0,0,0,0,1,bridge
234,60,3,7,0,0,1,0,0,non_bridge
235,0,0,0,1,0,0,0,0,non_bridge
236,24,2,4,3,1,0,0,0,non_bridge
237,794,16,25,0,0,0,0,0,non_bridge
238,76,6,8,0,0,0,0,0,non_bridge
239,140,7,9,3,0,0,0,1,bridge
240,41,4,5,0,1,0,0,0,non_bridge
241,55,4,7,3,0,0,0,1,bridge
242,51,3,7,0,0,0,0,0,non_bridge
243,43,3,6,0,0,1,0,0,non_bridge
244,328,7,18,2,0,0,0,0,non_bridge
245,2251,21,44,3,0,0,0,1,bridge
246,85,6,8,0,0,0,0,1,bridge
247,106,6,9,0,0,0,0,0,non_bridge
248,1759,22,41,0,0,1,0,0,non_bridge
249,41,3,6,0,0,0,0,0,non_bridge
250,0,0,0,1,1,0,0,0,non_bridge
251,71,5,8,0,0,0,0,0,non_bridge
252,527,9,22,0,0,1,0,0,non_bridge
253,144,4,12,0,1,0,0,0,non_bridge
254,1870,19,41,0,1,0,0,0,non_bridge
255,4783,32,69,0,0,1,0,0,non_bridge
256,68,4,8,0,0,0,0,0,non_bridge
257,406,10,20,0,0,0,0,1,bridge
258,367,7,19,0,1,0,0,0,non_bridge
259,980,11,31,0,0,1,0,0,non_bridge
260,9,2,3,0,0,0,0,0,non_bridge
261,355,9,18,3,0,0,0,0,non_bridge
262,95,6,9,0,1,0,0,0,non_bridge
263,24,3,4,0,0,0,0,0,non_bridge
264,44,2,6,1,1,0,0,0,non_bridge
265,43,3,6,1,0,1,0,0,non_bridge
266,11,1,3,0,0,1,0,0,non_bridge
267,6,1,2,1,0,0,0,1,bridge
268,0,0,0,0,0,0,0,1,bridge
269,48,4,6,1,1,0,0,0,non_bridge
270,14,2,3,3,0,0,0,0,non_bridge
271,570,12,23,0,0,0,0,0,non_bridge
272,571,12,23,0,0,0,0,1,bridge
273,796,10,28,0,1,0,0,0,non_bridge
274,110,6,10,0,1,1,0,1,bridge
275,0,0,0,0,0,0,0,0,non_bridge
276,12,1,3,1,1,0,0,0,non_bridge
277,412,12,18,0,0,0,0,0,non_bridge
278,83,4,9,0,0,0,0,1,bridge
279,14,2,3,1,0,0,0,0,non_bridge
280,273,8,16,0,0,1,0,1,bridge
281,44,5,6,3,0,0,0,0,non_bridge
282,40,2,6,0,0,0,0,1,bridge
283,0,0,0,0,0,0,0,0,non_bridge
284,97,6,8,0,1,0,0,0,non_bridge
285,515,13,18,2,1,0,0,0,non_bridge
286,56,2,7,0,0,1,0,1,bridge
287,0,0,0,3,0,0,0,0,non_bridge
288,38,3,6,3,0,0,0,0,non_bridge
289,3112,26,53,0,1,1,0,1,bridge
290,5,1,2,1,0,0,0,0,non_bridge
291,292,6,17,3,0,1,0,0,non_bridge
292,35,2,5,0,0,0,0,0,non_bridge
293,12,2,3,0,1,0,0,0,non_bridge
294,0,0,0,3,0,0,0,0,non_bridge
295,805,17,28,0,0,1,0,1,bridge
296,22,1,4,0,0,1,0,0,non_bridge
297,5,1,1,0,1,0,0,1,bridge
298,173,6,13,2,0,1,0,0,non_bridge
299,168,9,12,0,1,1,0,0,non_bridge
300,713,12,26,0,1,0,0,0,non_bridge
301,866,14,20,3,0,0,0,1,bridge
302,113,5,10,2,0,0,0,0,non_bridge
303,4,2,2,1,0,1,0,0,non_bridge
304,216,9,13,3,0,1,0,1,bridge
305,143,6,11,3,0,0,0,1,bridge
306,24,3,4,0,1,0,0,0,non_bridge
307,294,7,17,0,0,0,0,1,bridge
308,1,1,1,0,0,0,0,0,non_bridge
309,412,13,19,3,0,0,0,1,bridge
310,14,1,3,0,0,0,0,0,non_bridge
311,60,4,7,0,1,0,0,0,non_bridge
312,114,6,9,0,0,0,0,1,bridge
313,65,5,8,0,0,1,0,1,bridge
314,217,7,12,0,1,0,0,0,non_bridge
315,22,3,4,0,0,0,0,1,bridge
316,14,3,3,0,0,0,0,0,non_bridge
317,2190,22,44,0,0,0,0,0,non_bridge
318,14,1,3,1,0,0,0,0,non_bridge
319,273,7,16,0,0,0,0,0,non_bridge
320,103,6,9,3,0,0,0,1,bridge
321,108,5,10,0,0,0,0,0,non_bridge
322,1,1,1,0,1,0,0,0,non_bridge
323,10,1,3,3,0,0,0,0,non_bridge
324,326,9,17,0,1,0,0,0,non_bridge
325,510,8,22,0,1,0,0,0,non_bridge
326,5,2,2,3,1,0,0,0,non_bridge
327,253,5,15,0,0,0,0,0,non_bridge
328,2,1,1,1,1,0,0,1,bridge
329,2427,28,49,3,1,0,1,0,non_bridge
330,4098,20,61,3,1,0,0,0,non_bridge
331,9,2,3,1,0,0,0,0,non_bridge
332,0,0,0,0,0,0,0,0,non_bridge
333,8,2,2,0,0,1,0,0,non_bridge
334,52,3,7,0,0,0,0,0,non_bridge
335,237,7,15,3,0,0,1,0,non_bridge
336,375,11,18,3,0,0,0,1,bridge
337,156,5,12,2,0,0,0,0,non_bridge
338,8,1,2,0,0,0,0,0,non_bridge
339,1,1,1,0,0,0,0,0,non_bridge
340,4635,42,64,3,0,1,0,0,non_bridge
341,1474,15,38,0,1,0,0,1,bridge
342,1330,18,32,3,1,0,0,0,non_bridge
343,243,5,15,0,0,0,0,0,non_bridge
344,6718,45,79,3,1,1,0,0,non_bridge
345,8,1,2,0,0,0,0,1,bridge
346,975,16,31,0,0,0,0,0,non_bridge
347,8024,46,83,0,0,0,0,0,non_bridge
348,22,3,4,1,1,0,0,0,non_bridge
349,61,4,7,0,0,0,0,0,non_bridge
350,71,1,8,0,1,0,0,1,bridge
351,0,0,0,1,0,0,0,0,non_bridge
352,0,0,0,1,0,0,0,0,non_bridge
353,405,11,20,0,1,0,0,0,non_bridge
354,296,7,17,0,0,0,0,0,non_bridge
355,11629,56,105,0,0,1,0,1,bridge
356,35,3,5,0,1,0,0,1,bridge
357,794,17,27,0,0,0,0,1,bridge
358,125,6,10,0,1,0,0,0,non_bridge
359,10,1,3,0,0,0,0,0,non_bridge
360,436,8,20,0,1,0,0,1,bridge
361,104,3,10,0,0,0,0,0,non_bridge
362,128,6,11,0,0,0,0,0,non_bridge
363,170,3,13,0,0,1,0,0,non_bridge
364,377,9,19,0,0,0,0,0,non_bridge
365,99,5,9,0,1,0,0,0,non_bridge
366,4,1,1,3,1,0,0,0,non_bridge
367,405,12,17,0,0,0,0,1,bridge
368,1269,18,35,0,0,0,0,0,non_bridge
369,2997,28,46,3,0,0,0,1,bridge
370,0,0,0,0,1,0,0,0,non_bridge
371,156,7,12,0,0,0,0,0,non_bridge
372,446,10,20,0,1,0,0,0,non_bridge
373,435,11,19,3,1,0,0,1,bridge
374,0,0,0,0,1,0,0,0,non_bridge
375,3225,11,56,3,0,0,0,0,non_bridge
376,233,7,15,0,0,0,0,1,bridge
377,7896,48,87,3,0,1,0,0,non_bridge
378,26,3,4,0,0,0,0,0,non_bridge
379,1114,15,33,0,0,0,0,0,non_bridge
380,27,3,4,0,1,0,0,0,non_bridge
381,92,6,8,0,0,0,0,0,non_bridge
382,5,1,2,0,0,0,0,0,non_bridge
383,106,5,10,2,0,0,0,1,bridge
384,51,5,7,0,0,0,0,1,bridge
385,0,0,0,0,0,0,0,0,non_bridge
386,0,0,0,0,0,0,0,0,non_bridge
387,105,5,9,0,0,0,0,0,non_bridge
388,103,4,10,3,0,0,0,0,non_bridge
389,5719,45,68,0,0,0,0,1,bridge
390,0,0,0,1,0,0,0,0,non_bridge
391,10,2,3,0,0,0,0,0,non_bridge
392,142,7,11,0,1,0,0,0,non_bridge
393,48,4,6,3,0,0,0,0,non_bridge
394,3,1,1,3,0,0,0,0,non_bridge
395,309,9,17,3,0,1,0,0,non_bridge
396,0,0,0,0,0,0,0,0,non_bridge
397,19,2,4,0,0,1,0,1,bridge
398,225,8,14,0,1,0,0,0,non_bridge
399,9,2,3,0,1,1,0,0,non_bridge
400,58,4,7,0,0,1,0,0,non_bridge
401,35,1,5,1,0,1,0,0,non_bridge
402,19,2,4,1,0,1,0,0,non_bridge
403,97,6,9,0,0,0,0,1,bridge
404,1660,18,40,0,0,0,0,0,non_bridge
405,0,0,0,0,0,1,0,0,non_bridge
406,1693,15,41,0,0,1,0,0,non_bridge
407,73,2,8,0,0,0,0,0,non_bridge
408,1974,22,44,3,0,1,0,0,non_bridge
409,717,8,26,0,0,0,0,0,non_bridge
410,1972,21,44,0,1,0,0,0,non_bridge
411,401,10,19,0,0,0,0,0,non_bridge
412,49,3,7,0,0,0,0,0,non_bridge
413,971,15,30,0,1,0,0,0,non_bridge
414,2,1,1,0,1,0,0,0,non_bridge
415,148,6,12,2,0,1,0,0,non_bridge
416,0,0,0,0,0,0,0,0,non_bridge
417,8,2,2,0,0,0,0,0,non_bridge
418,260,9,16,0,0,1,0,0,non_bridge
419,666,10,25,3,0,0,0,1,bridge
420,3,1,1,0,0,0,0,0,non_bridge
421,0,0,0,0,0,0,0,0,non_bridge
422,237,8,15,3,0,0,1,1,bridge
423,1320,20,36,3,0,1,0,0,non_bridge
424,1,1,1,0,0,0,0,1,bridge
425,142,6,11,0,0,0,0,1,bridge
426,18,3,4,0,0,0,0,1,bridge
427,18,3,4,2,0,1,0,0,non_bridge
428,97,5,9,0,0,1,0,0,non_bridge
429,893,16,29,3,0,0,0,1,bridge
430,299,9,17,3,0,0,0,0,non_bridge
431,1762,18,41,0,0,0,0,0,non_bridge
432,113,5,8,0,1,0,0,1,bridge
433,3,1,1,0,0,0,0,1,bridge
434,256,9,12,3,1,0,0,1,bridge
435,1062,16,30,0,0,1,0,0,non_bridge
436,33,3,5,0,0,1,0,0,non_bridge
437,212,7,14,3,0,0,0,0,non_bridge
438,831,15,27,0,0,0,0,0,non_bridge
439,104,6,10,0,0,0,0,1,bridge
440,6812,41,78,3,0,1,0,0,non_bridge
441,18035,71,134,0,0,1,0,1,bridge
442,466,14,21,0,0,0,0,0,non_bridge
443,99,6,9,0,1,0,0,1,bridge
444,4235,15,65,0,1,1,0,0,non_bridge
445,2,1,1,1,0,0,0,0,non_bridge
446,12,2,3,0,0,1,0,0,non_bridge
447,660,11,25,2,0,0,0,1,bridge
448,2670,18,51,3,1,0,0,0,non_bridge
449,7,2,2,0,0,0,0,0,non_bridge
450,813,14,28,0,0,0,0,0,non_bridge
451,0,0,0,3,0,0,0,0,non_bridge
452,2020,21,30,0,0,0,0,1,bridge
453,1,1,1,1,1,0,0,0,non_bridge
454,8579,26,92,3,1,0,0,0,non_bridge
455,116,4,10,0,0,1,0,0,non_bridge
456,932,11,30,0,0,0,0,1,bridge
457,50,3,7,0,0,0,0,0,non_bridge
458,676,13,24,0,0,0,0,0,non_bridge
459,7686,34,87,0,0,0,0,1,bridge
460,25,2,5,0,0,0,0,1,bridge
461,83,5,9,0,0,1,0,0,non_bridge
462,1855,15,43,0,0,0,0,0,non_bridge
463,1464,18,37,3,0,0,0,0,non_bridge
464,1222,15,34,0,0,0,0,0,non_bridge
465,0,0,0,0,0,0,0,0,non_bridge
466,284,8,16,3,0,0,0,0,non_bridge
467,1371,16,36,3,1,0,0,0,non_bridge
468,4,2,2,3,0,0,0,1,bridge
469,239,3,15,0,0,1,0,0,non_bridge
470,68,5,7,0,0,1,0,0,non_bridge
471,324,11,16,0,0,0,0,0,non_bridge
472,191,4,13,0,0,0,0,0,non_bridge
473,6,2,2,0,0,0,0,0,non_bridge
474,643,8,25,3,0,0,0,0,non_bridge
475,144,4,11,3,0,0,0,0,non_bridge
476,195,7,11,3,0,0,0,1,bridge
477,65,5,7,0,0,0,0,1,bridge
