node,citations,hindex,gindex,title,cs,bio,soc,is_bridge_node,node_type
1,369,9,19,3,0,0,0,1,bridge
2,597,9,24,0,0,0,0,1,bridge
7,455,10,17,3,1,1,0,1,bridge
8,519,13,19,0,0,0,0,1,bridge
10,50,4,7,0,0,0,0,1,bridge
19,7,2,2,3,0,1,0,1,bridge
35,31,4,5,0,0,0,0,1,bridge
40,221,10,14,0,0,0,0,1,bridge
41,4,1,1,0,0,0,0,1,bridge
48,1097,13,33,3,0,1,0,1,bridge
49,0,0,0,1,1,0,0,1,bridge
52,37,3,6,0,0,0,0,1,bridge
56,27,3,4,0,0,0,0,1,bridge
58,12,1,3,1,0,0,0,1,bridge
63,39,2,6,0,0,1,0,1,bridge
68,107,5,10,0,0,0,0,1,bridge
73,419,12,20,0,0,1,0,1,bridge
75,1,1,1,0,0,0,0,1,bridge
78,75,4,8,1,0,0,0,1,bridge
85,151,8,11,0,0,0,0,1,bridge
86,45,3,6,0,0,0,0,1,bridge
90,355,10,18,3,0,0,0,1,bridge
92,6498,47,80,3,0,1,0,1,bridge
93,48,3,6,0,0,1,0,1,bridge
94,88,5,9,0,1,0,0,1,bridge
101,152,8,11,3,1,0,0,1,bridge
106,11,2,3,0,0,0,0,1,bridge
108,173,5,13,0,0,1,0,1,bridge
110,237,7,14,0,0,0,0,1,bridge
111,950,17,28,3,0,0,0,1,bridge
114,71,4,8,0,0,0,0,1,bridge
118,123,6,11,0,0,0,0,1,bridge
126,332,11,17,0,1,0,0,1,bridge
127,65,4,7,3,0,0,0,1,bridge
132,212,7,14,0,0,1,0,1,bridge
138,40,3,6,0,0,0,0,1,bridge
142,11260,56,103,3,0,0,0,1,bridge
146,260,6,16,0,0,0,0,1,bridge
152,89,5,9,2,0,0,0,1,bridge
154,125,4,11,0,0,1,0,1,bridge
156,78,4,8,0,1,0,0,1,bridge
161,10,2,2,0,0,0,0,1,bridge
181,1025,18,31,0,0,0,0,1,bridge
185,233,9,13,3,0,0,0,1,bridge
186,69,2,8,0,1,1,0,1,bridge
189,3879,28,62,0,0,0,0,1,bridge
190,5590,37,74,3,0,1,0,1,bridge
196,423,12,18,0,0,1,0,1,bridge
201,31,3,5,0,0,0,0,1,bridge
203,4,1,2,0,0,0,0,1,bridge
205,959,14,30,3,0,1,0,1,bridge
209,11391,57,105,3,1,0,0,1,bridge
213,50,4,7,0,0,0,0,1,bridge
