community_id,community_size,max_hindex
0,1,3
1,1,9
2,15156,172
3,26953,178
4,3243,112
5,18669,150
6,5911,99
7,17758,135
8,14240,116
9,20890,120
10,1,4
11,1,3
12,10532,110
13,1,0
14,1,0
15,1,0
16,7461,108
17,1,2
18,1,0
19,1,0
20,30394,212
21,1,9
22,5475,83
23,1,0
24,1,4
25,1,0
26,1,0
27,1,1
28,3591,101
29,1,1
30,1,1
31,4165,83
32,1,3
33,1,13
34,1,0
35,1,0
36,1,3
37,11612,148
38,35,17
39,1,3
40,1,0
41,1,1
42,1,0
43,1,0
44,1,2
45,1,2
46,1,0
47,1,12
48,1,3
49,1,1
50,1,0
51,1,4
52,3193,93
53,1,4
54,1,8
55,1,3
56,5,20
57,1,2
58,1,0
59,1,9
60,1,3
61,1,5
62,1,1
63,1,0
64,1,1
65,1,8
66,1,4
67,1,2
68,1,2
69,1,5
70,1,7
71,1,17
72,1,4
73,1,0
74,1,6
75,1,0
76,1,2
77,1,4
78,1,1
79,1,11
80,1,4
81,1,5
82,122,52
83,1,3
84,1,7
85,1,2
86,2667,84
87,1,1
88,1,3
89,1,8
90,1,2
91,1,6
92,1,5
93,1,0
94,1,5
95,1,4
96,1,5
97,1,4
98,1,3
99,1,2
100,1,0
101,1,0
102,1,1
103,1,1
104,1,9
105,1,1
106,1,0
107,1,5
108,1,1
109,1,9
110,1,2
111,1,0
112,1,10
113,1,1
114,1,3
115,1,1
116,1,14
117,1,3
118,1,3
119,1,6
120,1,1
121,1,0
122,1,1
123,1,0
124,1,3
125,1,5
126,1,4
127,1,1
128,1,4
129,1,0
130,1,2
131,1,1
132,1,5
133,1,1
134,2163,109
135,1,0
136,5,7
137,1,4
138,1,3
139,1,3
140,1,0
141,1,11
142,1,2
143,1,1
144,1,1
145,1,0
146,1,2
147,1,0
148,1,4
149,1,2
150,1,8
151,1,5
152,1,2
153,1,0
154,1,2
155,1,0
156,1,3
157,1,6
158,1,2
159,1,2
160,1,0
161,1,17
162,1,1
163,1,1
164,1,3
165,1,9
166,1,3
167,1,7
168,1,1
169,1,13
170,1,1
171,1,6
172,1,5
173,1,3
174,1,3
175,1,1
176,1,6
177,1,5
178,1,1
179,1,2
180,1,5
181,1,1
182,1,2
183,1,0
184,1,2
185,1,3
186,1,11
187,1,1
188,1,3
189,1,4
190,1,1
191,1,0
192,1,0
193,1,3
194,1,1
195,1,9
196,1,5
197,1,1
198,1,0
199,1,0
200,1,1
201,269,51
202,1,5
203,1,0
204,1,0
205,1,4
206,1,0
207,1,4
208,1,1
209,1,0
210,1,2
211,35,60
212,1,2
213,1,6
214,1,0
215,1,2
216,1,8
217,1,1
218,1,0
219,1,10
220,1,1
221,1,0
222,1,8
223,1,1
224,1,6
225,1,3
226,5,5
227,1,1
228,1,6
229,1,1
230,1,2
231,1,2
232,1,0
233,1,1
234,1,11
235,1,3
236,1,13
237,1,2
238,1,0
239,1,8
240,1,2
241,1152,141
242,1,2
243,1,8
244,1,5
245,1,0
246,1,2
247,1,0
248,1,0
249,1,14
250,1,2
251,1,0
252,1,1
253,3,3
254,1,5
255,1,0
256,1,2
257,1,3
258,1,5
259,1,0
260,1,6
261,1,2
262,1,5
263,1,4
264,1,0
265,1,7
266,1,3
267,1,6
268,1,0
269,1,0
270,1,1
271,1,2
272,1,1
273,1,0
274,1,1
275,1,22
276,1,0
277,1,0
278,1,2
279,1,2
280,1,1
281,1,3
282,1,0
283,1,2
284,1,2
285,1,2
286,1,5
287,1,0
288,1,3
289,1,0
290,1,3
291,1,1
292,1,3
293,1,3
294,1,0
295,1,2
296,1,3
297,1,2
298,1,5
299,1,7
300,1,15
301,1,5
302,180,28
303,1,0
304,1,0
305,1,4
306,1,2
307,1,5
308,1,2
309,1,1
310,1,0
311,1,1
312,1,5
313,1,8
314,1,2
315,1,4
316,1,7
317,1,0
318,1,21
319,1,1
320,1,0
321,1,0
322,1,2
323,1,7
324,1,1
325,1,0
326,1,4
327,1,0
328,1,0
329,1,1
330,1,6
331,1,3
332,1,6
333,1,1
334,1,3
335,1,11
336,1,2
337,1,0
338,1,1
339,1,2
340,1,7
341,1,5
342,1,0
343,3,1
344,1,5
345,1,7
346,1,1
347,1,2
348,1,1
349,1,7
350,1,2
351,1,3
352,1,3
353,1,1
354,10,3
355,1,1
356,1,2
357,1,8
358,1,7
359,1,4
360,1,6
361,1,3
362,1,10
363,1,6
364,1,2
365,1,1
366,1,0
367,1,15
368,1,0
369,1,1
370,1,7
371,1,0
372,1,1
373,1,2
374,1,0
375,1,3
376,1,0
377,1,8
378,1,1
379,1,13
380,1,0
381,1,8
382,1,7
383,1,5
384,1,0
385,1,21
386,1,0
387,1,3
388,1,1
389,1,7
390,1,1
391,1,3
392,1,9
393,1,0
394,1,19
395,1,8
396,1,6
397,1,0
398,1,4
399,1,0
400,1,0
401,1,4
402,1,5
403,1,1
404,1,2
405,1,3
406,1,0
407,1,0
408,1,2
409,1,2
410,1,10
411,1,0
412,1,3
413,1,4
414,1,1
415,1,9
416,1,4
417,1,6
418,1,1
419,1,9
420,1,4
421,1,2
422,1,0
423,1,3
424,1,3
425,1,5
426,1,16
427,1,2
428,1,0
429,1,4
430,1,2
431,1,1
432,1,1
433,1,5
434,1,2
435,3,3
436,1,3
437,1,2
438,1,1
439,1,3
440,1,4
441,1,0
442,1,0
443,1,0
444,1,1
445,1,2
446,1,1
447,1,2
448,1,3
449,1,1
450,1,5
451,1,3
452,1,4
453,1,3
454,1,2
455,1,9
456,1,0
457,1,5
458,1,2
459,1,0
460,1,1
461,1,3
462,1,2
463,1,3
464,1,9
465,1,1
466,1,3
467,1,5
468,1,5
469,1,2
470,3,6
471,1,1
472,1,0
473,1,3
474,1,1
475,1,10
476,1,3
477,1,9
478,1,4
479,1,4
480,25,27
481,1,0
482,1,4
483,1,0
484,1,4
485,1,1
486,1,7
487,1,4
488,1,0
489,1,0
490,1,0
491,1,4
492,1,1
493,8,20
494,1,8
495,1,0
496,1,5
497,1,1
498,1,2
499,1,1
500,1,0
501,1,2
502,1,2
503,1,4
504,1,0
505,1,55
506,1,2
507,1,1
508,1,0
509,1,0
510,1,0
511,1,7
512,1,1
513,1,8
514,1,3
515,1,15
516,1,1
517,1,1
518,1,0
519,1,2
520,1,1
521,1,3
522,1,1
523,1,0
524,1,7
525,1,5
526,1,0
527,1,13
528,1,0
529,1,16
530,1,0
531,1,2
532,1,0
533,1,1
534,1,7
535,1,0
536,1,6
537,1,2
538,1,1
539,1,3
540,255,61
541,1,3
542,1,3
543,4,10
544,1,0
545,1,2
546,1,1
547,1,4
548,1,0
549,1,0
550,1,0
551,1,3
552,1,1
553,1,1
554,1,8
555,1,5
556,1,1
557,1,6
558,1,3
559,1,2
560,1,29
561,1,1
562,1,0
563,1,0
564,1,2
565,1,4
566,1,1
567,1,6
568,1,1
569,1,3
570,1,14
571,1,0
572,4,23
573,1,4
574,1,3
575,1,2
576,1,3
577,1,3
578,1,1
579,1,2
580,1,13
581,1,7
582,1,6
583,1,2
584,1,2
585,1,1
586,1,6
587,1,1
588,1,5
589,1,1
590,3,9
591,1,3
592,1,1
593,1,1
594,1,4
595,1,2
596,1,1
597,1,1
598,1,3
599,1,6
600,1,0
601,1,1
602,1,9
603,51,50
604,1,3
605,1,6
606,1,2
607,1,2
608,1,1
609,1,1
610,1,2
611,1,6
612,1,0
613,1,3
614,1,1
615,1,1
616,1,1
617,1,7
618,1,4
619,1,0
620,1,28
621,1,7
622,1,2
623,1,0
624,1,4
625,1,1
626,1,2
627,1,1
628,1,5
629,1,2
630,1,0
631,1,18
632,1,0
633,1,1
634,1,0
635,1,0
636,1,3
637,1,3
638,1,3
639,1,2
640,1,1
641,1,7
642,1,0
643,1,1
644,1,6
645,1,2
646,1,5
647,1,3
648,1,0
649,1,1
650,1,1
651,1,0
652,1,3
653,1,1
654,1,2
655,1,4
656,3,12
657,1,8
658,1,1
659,1,1
660,1,5
661,1,2
662,1,2
663,1,1
664,1,2
665,1,1
666,1,1
667,3,9
668,1,6
669,1,2
670,1,3
671,1,8
672,1,9
673,1,0
674,1,4
675,1,1
676,1,2
677,1,2
678,1,10
679,1,0
680,1,5
681,1,2
682,1,1
683,1,1
684,1,0
685,1,12
686,1,3
687,1,8
688,1,6
689,1,0
690,1,2
691,1,4
692,1,4
693,3,7
694,1,2
695,1,2
696,1,3
697,1,1
698,1,0
699,1,1
700,1,0
701,1,0
702,1,7
703,1,3
704,1,0
705,1,2
706,1,2
707,1,5
708,1,2
709,1,0
710,1,4
711,1,0
712,1,1
713,1,2
714,1,0
715,1,0
716,1,4
717,1,8
718,1,11
719,1,4
720,1,3
721,1,13
722,1,1
723,208,35
724,1,6
725,1,18
726,1,1
727,1,0
728,1,0
729,1,1
730,1,1
731,1,2
732,1,2
733,1,3
734,1,0
735,1,0
736,1,0
737,1,0
738,1,0
739,1,1
740,1,1
741,1,10
742,1,2
743,1,0
744,1,1
745,1,1
746,1,5
747,1,5
748,1,26
749,1,3
750,1,0
751,1,0
752,1,0
753,1,0
754,1,0
755,1,0
756,1,0
757,1,12
758,1,1
759,1,1
760,1,5
761,1,5
762,1,2
763,1,5
764,1,3
765,1,1
766,1,7
767,3,7
768,1,1
769,1,3
770,1,3
771,1,8
772,1,10
773,1,3
774,1,2
775,1,4
776,1,1
777,1,1
778,1,7
779,1,0
780,1,0
781,1,1
782,1,2
783,1,2
784,1,7
785,1,1
786,1,2
787,1,2
788,1,2
789,1,6
790,1,6
791,1,1
792,1,3
793,1,3
794,1,3
795,1,2
796,1,0
797,1,1
798,1,0
799,1,3
800,1,0
801,1,2
802,1,2
803,1,6
804,1,5
805,1,1
806,1,6
807,1,2
808,1,0
809,1,3
810,1,5
811,1,9
812,1,0
813,1,1
814,1,0
815,1,0
816,1,5
817,1,2
818,1,2
819,1,2
820,1,3
821,1,10
822,1,0
823,1,2
824,1,6
825,1,0
826,1,3
827,3,3
828,1,1
829,1,2
830,1,7
831,1,0
832,1,3
833,1,1
834,1,0
835,1,1
836,1,13
837,1,9
838,1,4
839,1,8
840,1,1
841,1,2
842,1,3
843,1,0
844,1,6
845,1,9
846,1,3
847,1,9
848,1,3
849,12,11
850,1,2
851,1,0
852,1,1
853,1,1
854,1,5
855,1,3
856,1,1
857,5,6
858,1,1
859,1,3
860,1,4
861,1,0
862,284,80
863,1,8
864,1,2
865,1,0
866,1,7
867,1,2
868,1,10
869,1,6
870,1,2
871,1,0
872,1,28
873,1,2
874,1,1
875,1,6
876,1,1
877,1,0
878,1,0
879,1,5
880,1,7
881,1,14
882,1,0
883,1,11
884,1,3
885,1,3
886,1,8
887,1,1
888,1,4
889,1,1
890,1,4
891,1,10
892,1,3
893,1,11
894,1,6
895,1,1
896,1,1
897,1,1
898,1,7
899,1,2
900,1,1
901,1,0
902,1,0
903,1,0
904,1,1
905,1,4
906,1,1
907,1,1
908,1,3
909,1,3
910,1,3
911,1,1
912,1,3
913,1,1
914,1,4
915,1,3
916,1,0
917,1,1
918,1,3
919,1,1
920,1,7
921,1,4
922,1,2
923,1,2
924,3,4
925,1,4
926,1,2
927,1,2
928,1,1
929,1,4
930,1,0
931,85,33
932,1,2
933,1,4
934,1,0
935,1,0
936,1,2
937,1,0
938,1,2
939,3,8
940,1,11
941,1,2
942,1,2
943,1,0
944,1,0
945,3,9
946,5,1
947,1,2
948,1,5
949,1,0
950,1,2
951,1,1
952,1,0
953,1,0
954,1,2
955,1,9
956,1,2
957,1,4
958,1,1
959,1,2
960,1,4
961,1,11
962,1,4
963,1,5
964,1,1
965,1,1
966,1,2
967,1,6
968,1,1
969,1,3
970,1,0
971,1,8
972,1,0
973,1,3
974,1,4
975,1,4
976,1,4
977,1,0
978,1,2
979,1,6
980,1,2
981,1,0
982,1,1
983,1,2
984,1,3
985,1,0
986,1,4
987,1,0
988,1,14
989,1,2
990,1,2
991,1,2
992,1,3
993,1,2
994,1,5
995,1,0
996,1,5
997,1,1
998,1,4
999,1,0
1000,1,0
1001,1,1
1002,1,1
1003,1,1
1004,1,2
