id,citations,hindex,gindex,title,cs_author,biology_author,sociology_author,is_bridge_node,label
16334,1764,26,41,3,1,1,0,0,16334
130848,59757,66,244,3,0,0,1,0,130848
171681,428,8,20,3,0,0,1,0,171681
295877,1011,13,31,0,1,1,0,0,295877
330262,132,6,10,0,0,0,0,0,330262
336056,441,11,20,0,0,0,0,0,336056
3,1089,10,33,3,0,1,0,0,3
5217,190,8,12,0,1,0,0,0,5217
79381,233,8,15,0,0,1,0,0,79381
362013,2949,21,54,3,0,0,0,0,362013
369009,947,12,30,0,0,1,0,0,369009
4,1958,24,43,0,0,0,0,0,4
25139,48782,102,213,0,0,0,0,0,25139
67165,26057,88,157,0,0,0,0,0,67165
92443,17346,69,122,3,0,0,0,0,92443
99048,16403,62,124,3,0,0,0,0,99048
101987,15212,53,122,0,0,0,0,0,101987
123160,17349,64,130,0,0,0,0,0,123160
147811,23527,82,151,0,0,0,0,0,147811
197050,29560,97,166,0,1,0,0,0,197050
202692,21492,79,145,0,0,0,0,0,202692
226800,28325,90,161,0,0,0,0,0,226800
359776,4764,29,69,0,0,0,0,0,359776
368019,21243,81,142,0,0,0,0,0,368019
388139,29468,99,168,0,0,0,0,0,388139
401094,3842,32,61,0,0,0,0,0,401094
5,941,14,28,3,1,0,0,0,5
90973,26,3,5,0,0,0,0,0,90973
100217,197,7,13,3,1,0,0,0,100217
184385,6629,38,81,3,0,1,0,0,184385
242540,241,7,15,0,1,0,0,0,242540
256207,458,10,21,0,1,0,0,0,256207
276061,105,6,9,0,0,0,0,0,276061
343018,92,7,9,3,1,0,0,0,343018
365566,50,4,6,2,0,0,0,0,365566
397185,3970,29,60,0,0,0,0,0,397185
6,31,3,5,0,1,0,0,0,6
9432,458,11,19,0,0,0,0,0,9432
14117,2,1,1,0,0,0,0,0,14117
18078,3133,30,48,3,1,0,0,0,18078
41550,771,15,23,0,1,0,0,0,41550
101881,1479,19,28,3,0,0,0,0,101881
137346,253,9,15,2,1,0,0,0,137346
179501,9,1,3,0,1,0,0,0,179501
221395,257,11,13,3,0,0,0,0,221395
248309,1029,17,31,0,0,0,0,0,248309
287477,1072,13,29,0,0,0,0,0,287477
327830,1041,18,30,0,1,0,0,0,327830
360405,49,2,7,0,1,0,0,0,360405
364032,19,2,4,0,0,0,0,0,364032
382831,23,3,4,0,1,0,0,0,382831
78919,384,5,19,0,0,1,0,0,78919
114343,25,3,3,0,1,0,0,0,114343
159648,975,19,29,3,0,0,0,0,159648
27765,119,6,10,3,1,0,0,0,27765
43294,386,10,17,0,0,0,0,0,43294
112821,2208,23,41,0,0,0,0,0,112821
262653,1297,15,32,0,1,0,0,0,262653
272602,510,12,20,0,1,0,0,0,272602
303369,396,10,18,0,1,0,0,0,303369
332954,12101,49,108,3,0,0,0,0,332954
342064,489,12,15,0,0,0,0,0,342064
368264,70,5,8,0,0,0,0,0,368264
9,636,13,22,0,1,0,0,0,9
24261,150,7,11,0,1,0,0,0,24261
24534,635,13,22,0,1,0,0,0,24534
50758,4888,32,62,3,1,0,0,0,50758
63486,260,9,15,0,1,0,0,0,63486
77372,4361,35,59,0,1,0,0,0,77372
81751,26,2,5,0,1,0,0,0,81751
108513,766,17,27,3,1,0,0,0,108513
120614,1082,13,32,0,1,0,0,0,120614
133131,126,4,11,0,0,0,0,0,133131
137573,952,18,27,0,0,0,0,0,137573
138273,1278,19,33,3,1,0,0,0,138273
183530,5,1,2,1,0,0,0,0,183530
187946,4547,29,65,3,1,0,0,0,187946
189970,1941,18,43,0,1,0,0,0,189970
202531,0,0,0,1,0,0,0,0,202531
215105,1288,19,33,0,0,0,0,0,215105
232715,4888,32,62,3,1,0,0,0,232715
235992,766,17,27,3,1,0,0,0,235992
265989,126,4,11,3,1,0,0,0,265989
271507,86,6,8,0,1,0,0,0,271507
354438,1414,18,33,0,1,0,0,0,354438
382192,399,13,19,1,1,0,0,0,382192
386180,912,19,27,0,1,0,0,0,386180
12,15,2,3,1,0,1,0,0,12
38449,3020,23,54,0,0,0,0,0,38449
101610,492,6,22,1,0,1,0,0,101610
173215,32118,86,179,3,0,1,0,0,173215
178044,3358,32,57,0,0,0,0,0,178044
215634,1388,12,37,2,0,1,0,0,215634
255234,7258,39,85,0,0,1,0,0,255234
302203,997,11,31,0,0,1,0,0,302203
380628,22,2,4,0,1,1,0,0,380628
13,539,12,23,3,0,1,0,0,13
89014,2120,20,46,3,0,1,0,0,89014
289321,3076,31,49,3,0,1,0,0,289321
17,10804,49,103,3,0,0,0,0,17
32251,4359,35,65,0,0,0,0,0,32251
151485,3924,19,62,0,0,0,0,0,151485
159533,11250,38,106,3,0,0,0,0,159533
200477,1600,19,40,3,0,0,0,0,200477
201557,7610,32,87,3,0,0,0,0,201557
203963,3833,33,59,0,0,0,0,0,203963
206473,552,11,23,3,0,0,0,0,206473
